czas;1.csv - abs;5.csv - abs;3.csv - abs;| || |;1.csv - delta;5.csv - delta;3.csv - delta
340;0.0283;0.0055;0.0112;| || |;-0.0046;-0.0002999999999999999;-0.0016000000000000007
341;0.0243;0.0045;0.0088;| || |;-0.004;-0.001;-0.0023999999999999994
342;0.0207;0.0036;0.0072;| || |;-0.003599999999999999;-0.0008999999999999998;-0.0016000000000000007
343;0.0181;0.003;0.0055;| || |;-0.002599999999999998;-0.0005999999999999998;-0.0017000000000000001
344;0.0158;0.0027;0.0042;| || |;-0.0023;-0.0002999999999999999;-0.0013
345;0.0139;0.0024;0.0036;| || |;-0.0019000000000000024;-0.00030000000000000035;-0.0005999999999999998
346;0.0123;0.0021;0.0026;| || |;-0.001599999999999999;-0.0002999999999999999;-0.001
347;0.011;0.0018;0.0019;| || |;-0.0013000000000000008;-0.0002999999999999999;-0.0006999999999999999
348;0.0101;0.0015;0.0013;| || |;-0.0008999999999999998;-0.0002999999999999999;-0.0006000000000000001
349;0.0088;0.0012;0.0006;| || |;-0.001299999999999999;-0.00030000000000000014;-0.0007
350;0.0078;0.0009;-0.0003;| || |;-0.0010000000000000009;-0.0002999999999999999;-0.0009
351;0.0069;0.0006;-0.0006;| || |;-0.0008999999999999998;-0.00030000000000000003;-0.0003
352;0.0063;0.0006;-0.0006;| || |;-0.0005999999999999998;0.0;0.0
353;0.0059;0.0006;-0.0013;| || |;-0.0004000000000000002;0.0;-0.0007
354;0.0053;0.0003;-0.0013;| || |;-0.0005999999999999998;-0.0003;0.0
355;0.0053;0.0003;-0.0019;| || |;0.0;0.0;-0.0006000000000000001
356;0.005;0.0003;-0.0019;| || |;-0.0002999999999999999;0.0;0.0
357;0.0047;0.0003;-0.0019;| || |;-0.0002999999999999999;0.0;0.0
358;0.0041;-0.0;-0.0023;| || |;-0.0005999999999999998;-0.0003;-0.00039999999999999996
359;0.0037;-0.0;-0.0026;| || |;-0.0004000000000000002;0.0;-0.0002999999999999999
360;0.0034;-0.0;-0.0026;| || |;-0.00030000000000000035;0.0;0.0
361;0.0031;-0.0003;-0.0026;| || |;-0.0002999999999999999;-0.0003;0.0
362;0.0031;-0.0003;-0.0026;| || |;0.0;0.0;0.0
363;0.0031;-0.0;-0.0029;| || |;0.0;0.0003;-0.0002999999999999999
364;0.0028;-0.0;-0.0029;| || |;-0.0002999999999999999;0.0;0.0
365;0.0025;-0.0003;-0.0029;| || |;-0.0002999999999999999;-0.0003;0.0
366;0.0028;-0.0003;-0.0026;| || |;0.0002999999999999999;0.0;0.0002999999999999999
367;0.0025;-0.0003;-0.0029;| || |;-0.0002999999999999999;0.0;-0.0002999999999999999
368;0.0022;-0.0003;-0.0029;| || |;-0.0002999999999999999;0.0;0.0
369;0.0025;-0.0003;-0.0029;| || |;0.0002999999999999999;0.0;0.0
370;0.0025;-0.0003;-0.0029;| || |;0.0;0.0;0.0
371;0.0025;-0.0003;-0.0029;| || |;0.0;0.0;0.0
372;0.0022;-0.0003;-0.0029;| || |;-0.0002999999999999999;0.0;0.0
373;0.0022;-0.0003;-0.0029;| || |;0.0;0.0;0.0
374;0.0022;-0.0003;-0.0029;| || |;0.0;0.0;0.0
375;0.0019;-0.0;-0.0029;| || |;-0.00030000000000000014;0.0003;0.0
376;0.0022;-0.0006;-0.0032;| || |;0.00030000000000000014;-0.0006;-0.00030000000000000035
377;0.0022;-0.0003;-0.0029;| || |;0.0;0.0003;0.00030000000000000035
378;0.0022;-0.0003;-0.0029;| || |;0.0;0.0;0.0
379;0.0022;-0.0003;-0.0032;| || |;0.0;0.0;-0.00030000000000000035
380;0.0022;-0.0;-0.0032;| || |;0.0;0.0003;0.0
381;0.0022;-0.0003;-0.0032;| || |;0.0;-0.0003;0.0
382;0.0022;-0.0003;-0.0032;| || |;0.0;0.0;0.0
383;0.0022;-0.0003;-0.0032;| || |;0.0;0.0;0.0
384;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;0.0;0.0
385;0.0022;-0.0003;-0.0029;| || |;0.00030000000000000014;0.0;0.00030000000000000035
386;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;0.0;-0.00030000000000000035
387;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;0.0;0.0
388;0.0019;-0.0006;-0.0029;| || |;-0.00030000000000000014;-0.0003;0.00030000000000000035
389;0.0019;-0.0006;-0.0029;| || |;0.0;0.0;0.0
390;0.0019;-0.0;-0.0029;| || |;0.0;0.0006;0.0
391;0.0019;-0.0;-0.0029;| || |;0.0;0.0;0.0
392;0.0019;-0.0003;-0.0029;| || |;0.0;-0.0003;0.0
393;0.0016;-0.0003;-0.0032;| || |;-0.0002999999999999999;0.0;-0.00030000000000000035
394;0.0019;-0.0003;-0.0032;| || |;0.0002999999999999999;0.0;0.0
395;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
396;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
397;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
398;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;0.0;0.0
399;0.0022;-0.0003;-0.0032;| || |;0.0;0.0;0.0
400;0.0022;-0.0;-0.0032;| || |;0.0;0.0003;0.0
401;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;-0.0003;0.0
402;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
403;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
404;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
405;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
406;0.0022;-0.0;-0.0035;| || |;0.00030000000000000014;0.0003;-0.0002999999999999999
407;0.0025;-0.0;-0.0032;| || |;0.0002999999999999999;0.0;0.0002999999999999999
408;0.0022;-0.0003;-0.0035;| || |;-0.0002999999999999999;-0.0003;-0.0002999999999999999
409;0.0022;-0.0;-0.0032;| || |;0.0;0.0003;0.0002999999999999999
410;0.0022;-0.0;-0.0032;| || |;0.0;0.0;0.0
411;0.0022;-0.0003;-0.0032;| || |;0.0;-0.0003;0.0
412;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;0.0;0.0
413;0.0019;-0.0003;-0.0029;| || |;0.0;0.0;0.00030000000000000035
414;0.0019;-0.0;-0.0032;| || |;0.0;0.0003;-0.00030000000000000035
415;0.0019;-0.0003;-0.0032;| || |;0.0;-0.0003;0.0
416;0.0019;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
417;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0002999999999999999
418;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
419;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;0.0;0.0
420;0.0022;-0.0003;-0.0032;| || |;0.0;0.0;0.0
421;0.0022;-0.0006;-0.0032;| || |;0.0;-0.0003;0.0
422;0.0019;-0.0006;-0.0035;| || |;-0.00030000000000000014;0.0;-0.0002999999999999999
423;0.0019;-0.0006;-0.0035;| || |;0.0;0.0;0.0
424;0.0019;-0.0006;-0.0035;| || |;0.0;0.0;0.0
425;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;0.0003;0.0002999999999999999
426;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;0.0;0.0
427;0.0019;-0.0006;-0.0032;| || |;0.0;-0.0003;0.0
428;0.0019;-0.0006;-0.0032;| || |;0.0;0.0;0.0
429;0.0019;-0.0006;-0.0032;| || |;0.0;0.0;0.0
430;0.0019;-0.0003;-0.0032;| || |;0.0;0.0003;0.0
431;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
432;0.0019;-0.0006;-0.0032;| || |;0.0;-0.0003;0.0
433;0.0022;-0.0006;-0.0032;| || |;0.00030000000000000014;0.0;0.0
434;0.0022;-0.0006;-0.0032;| || |;0.0;0.0;0.0
435;0.0019;-0.0006;-0.0032;| || |;-0.00030000000000000014;0.0;0.0
436;0.0019;-0.0009;-0.0032;| || |;0.0;-0.00030000000000000003;0.0
437;0.0019;-0.0003;-0.0035;| || |;0.0;0.0006000000000000001;-0.0002999999999999999
438;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;0.0;0.0002999999999999999
439;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;0.0;0.0
440;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
441;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
442;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
443;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
444;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;0.0;0.0
445;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;0.0;0.0
446;0.0016;-0.0003;-0.0032;| || |;-0.0002999999999999999;0.0;0.0
447;0.0019;-0.0006;-0.0032;| || |;0.0002999999999999999;-0.0003;0.0
448;0.0019;-0.0003;-0.0032;| || |;0.0;0.0003;0.0
449;0.0019;-0.0003;-0.0032;| || |;0.0;0.0;0.0
450;0.0019;-0.0;-0.0035;| || |;0.0;0.0003;-0.0002999999999999999
451;0.0019;-0.0003;-0.0032;| || |;0.0;-0.0003;0.0002999999999999999
452;0.0019;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
453;0.0022;-0.0003;-0.0035;| || |;0.00030000000000000014;0.0;0.0
454;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;0.0
455;0.0019;-0.0003;-0.0032;| || |;-0.00030000000000000014;0.0;0.0002999999999999999
456;0.0019;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
457;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;0.0;0.0002999999999999999
458;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
459;0.0022;-0.0;-0.0035;| || |;0.0;0.0003;0.0
460;0.0022;-0.0003;-0.0032;| || |;0.0;-0.0003;0.0002999999999999999
461;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
462;0.0019;-0.0;-0.0035;| || |;-0.00030000000000000014;0.0003;0.0
463;0.0022;-0.0003;-0.0032;| || |;0.00030000000000000014;-0.0003;0.0002999999999999999
464;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
465;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;0.0
466;0.0022;-0.0003;-0.0032;| || |;0.0;0.0;0.0002999999999999999
467;0.0022;-0.0;-0.0035;| || |;0.0;0.0003;-0.0002999999999999999
468;0.0022;-0.0003;-0.0035;| || |;0.0;-0.0003;0.0
469;0.0019;-0.0006;-0.0035;| || |;-0.00030000000000000014;-0.0003;0.0
470;0.0025;-0.0006;-0.0035;| || |;0.0006000000000000001;0.0;0.0
471;0.0022;-0.0;-0.0035;| || |;-0.0002999999999999999;0.0006;0.0
472;0.0019;-0.0003;-0.0035;| || |;-0.00030000000000000014;-0.0003;0.0
473;0.0022;-0.0006;-0.0035;| || |;0.00030000000000000014;-0.0003;0.0
474;0.0022;-0.0003;-0.0032;| || |;0.0;0.0003;0.0002999999999999999
475;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
476;0.0022;-0.0006;-0.0035;| || |;0.0;-0.0003;0.0
477;0.0022;-0.0003;-0.0035;| || |;0.0;0.0003;0.0
478;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;0.0
479;0.0022;-0.0003;-0.0039;| || |;0.0;0.0;-0.00039999999999999975
480;0.0019;-0.0003;-0.0039;| || |;-0.00030000000000000014;0.0;0.0
481;0.0019;-0.0003;-0.0035;| || |;0.0;0.0;0.00039999999999999975
482;0.0022;-0.0006;-0.0035;| || |;0.00030000000000000014;-0.0003;0.0
483;0.0022;-0.0;-0.0035;| || |;0.0;0.0006;0.0
484;0.0022;-0.0003;-0.0035;| || |;0.0;-0.0003;0.0
485;0.0022;-0.0003;-0.0032;| || |;0.0;0.0;0.0002999999999999999
486;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;-0.0002999999999999999
487;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;0.0
488;0.0019;-0.0003;-0.0039;| || |;-0.00030000000000000014;0.0;-0.00039999999999999975
489;0.0019;-0.0003;-0.0035;| || |;0.0;0.0;0.00039999999999999975
490;0.0022;-0.0003;-0.0039;| || |;0.00030000000000000014;0.0;-0.00039999999999999975
491;0.0019;-0.0003;-0.0039;| || |;-0.00030000000000000014;0.0;0.0
492;0.0022;-0.0003;-0.0039;| || |;0.00030000000000000014;0.0;0.0
493;0.0022;-0.0003;-0.0039;| || |;0.0;0.0;0.0
494;0.0022;-0.0006;-0.0035;| || |;0.0;-0.0003;0.00039999999999999975
495;0.0022;-0.0006;-0.0035;| || |;0.0;0.0;0.0
496;0.0022;-0.0003;-0.0035;| || |;0.0;0.0003;0.0
497;0.0022;-0.0003;-0.0035;| || |;0.0;0.0;0.0
498;0.0019;-0.0003;-0.0035;| || |;-0.00030000000000000014;0.0;0.0
499;0.0022;-0.0;-0.0035;| || |;0.00030000000000000014;0.0003;0.0
500;0.0022;-0.0003;-0.0035;| || |;0.0;-0.0003;0.0
501;0.0019;-0.0003;-0.0035;| || |;-0.00030000000000000014;0.0;0.0
502;0.0019;-0.0006;-0.0039;| || |;0.0;-0.0003;-0.00039999999999999975
503;0.0022;-0.0006;-0.0035;| || |;0.00030000000000000014;0.0;0.00039999999999999975
504;0.0022;-0.0003;-0.0039;| || |;0.0;0.0003;-0.00039999999999999975
505;0.0019;-0.0006;-0.0039;| || |;-0.00030000000000000014;-0.0003;0.0
506;0.0022;-0.0006;-0.0035;| || |;0.00030000000000000014;0.0;0.00039999999999999975
507;0.0019;-0.0003;-0.0035;| || |;-0.00030000000000000014;0.0003;0.0
508;0.0019;-0.0006;-0.0032;| || |;0.0;-0.0003;0.0002999999999999999
509;0.0019;-0.0003;-0.0035;| || |;0.0;0.0003;-0.0002999999999999999
510;0.0022;-0.0003;-0.0035;| || |;0.00030000000000000014;0.0;0.0
511;0.0019;-0.0006;-0.0035;| || |;-0.00030000000000000014;-0.0003;0.0
512;0.0019;-0.0003;-0.0039;| || |;0.0;0.0003;-0.00039999999999999975
513;0.0019;-0.0003;-0.0039;| || |;0.0;0.0;0.0
514;0.0019;-0.0006;-0.0035;| || |;0.0;-0.0003;0.00039999999999999975
515;0.0019;-0.0006;-0.0035;| || |;0.0;0.0;0.0
516;0.0019;-0.0003;-0.0035;| || |;0.0;0.0003;0.0
517;0.0019;-0.0003;-0.0035;| || |;0.0;0.0;0.0
518;0.0019;-0.0006;-0.0035;| || |;0.0;-0.0003;0.0
519;0.0019;-0.0006;-0.0035;| || |;0.0;0.0;0.0
520;0.0022;-0.0006;-0.0039;| || |;0.00030000000000000014;0.0;-0.00039999999999999975
521;0.0019;-0.0006;-0.0035;| || |;-0.00030000000000000014;0.0;0.00039999999999999975
522;0.0019;-0.0006;-0.0039;| || |;0.0;0.0;-0.00039999999999999975
523;0.0019;-0.0006;-0.0035;| || |;0.0;0.0;0.00039999999999999975
524;0.0019;-0.0003;-0.0039;| || |;0.0;0.0003;-0.00039999999999999975
525;0.0019;-0.0003;-0.0035;| || |;0.0;0.0;0.00039999999999999975
526;0.0019;-0.0006;-0.0035;| || |;0.0;-0.0003;0.0
527;0.0022;-0.0003;-0.0039;| || |;0.00030000000000000014;0.0003;-0.00039999999999999975
528;0.0019;-0.0006;-0.0039;| || |;-0.00030000000000000014;-0.0003;0.0
529;0.0019;-0.0006;-0.0039;| || |;0.0;0.0;0.0
530;0.0022;-0.0006;-0.0035;| || |;0.00030000000000000014;0.0;0.00039999999999999975
531;0.0022;-0.0003;-0.0039;| || |;0.0;0.0003;-0.00039999999999999975
532;0.0019;-0.0003;-0.0039;| || |;-0.00030000000000000014;0.0;0.0
533;0.0022;-0.0003;-0.0039;| || |;0.00030000000000000014;0.0;0.0
534;0.0019;-0.0003;-0.0035;| || |;-0.00030000000000000014;0.0;0.00039999999999999975
535;0.0019;-0.0006;-0.0035;| || |;0.0;-0.0003;0.0
536;0.0022;-0.0006;-0.0035;| || |;0.00030000000000000014;0.0;0.0
537;0.0022;-0.0006;-0.0039;| || |;0.0;0.0;-0.00039999999999999975
538;0.0022;-0.0006;-0.0039;| || |;0.0;0.0;0.0
539;0.0019;-0.0006;-0.0039;| || |;-0.00030000000000000014;0.0;0.0
540;0.0016;-0.0006;-0.0039;| || |;-0.0002999999999999999;0.0;0.0
541;0.0019;-0.0006;-0.0039;| || |;0.0002999999999999999;0.0;0.0
542;0.0019;-0.0003;-0.0039;| || |;0.0;0.0003;0.0
543;0.0019;-0.0003;-0.0039;| || |;0.0;0.0;0.0
544;0.0019;-0.0006;-0.0039;| || |;0.0;-0.0003;0.0
545;0.0016;-0.0003;-0.0039;| || |;-0.0002999999999999999;0.0003;0.0
546;0.0016;-0.0003;-0.0039;| || |;0.0;0.0;0.0
547;0.0019;-0.0003;-0.0039;| || |;0.0002999999999999999;0.0;0.0
548;0.0019;-0.0003;-0.0039;| || |;0.0;0.0;0.0
549;0.0022;-0.0006;-0.0039;| || |;0.00030000000000000014;-0.0003;0.0
550;0.0022;-0.0003;-0.0039;| || |;0.0;0.0003;0.0
551;0.0019;-0.0006;-0.0035;| || |;-0.00030000000000000014;-0.0003;0.00039999999999999975
552;0.0019;-0.0006;-0.0039;| || |;0.0;0.0;-0.00039999999999999975
553;0.0022;-0.0006;-0.0042;| || |;0.00030000000000000014;0.0;-0.0002999999999999999
554;0.0019;-0.0006;-0.0039;| || |;-0.00030000000000000014;0.0;0.0002999999999999999
555;0.0019;-0.0003;-0.0039;| || |;0.0;0.0003;0.0
556;0.0022;-0.0003;-0.0039;| || |;0.00030000000000000014;0.0;0.0
557;0.0022;-0.0006;-0.0042;| || |;0.0;-0.0003;-0.0002999999999999999
558;0.0019;-0.0003;-0.0039;| || |;-0.00030000000000000014;0.0003;0.0002999999999999999
559;0.0019;-0.0003;-0.0042;| || |;0.0;0.0;-0.0002999999999999999
560;0.0016;-0.0003;-0.0039;| || |;-0.0002999999999999999;0.0;0.0002999999999999999
561;0.0019;-0.0003;-0.0039;| || |;0.0002999999999999999;0.0;0.0
562;0.0019;-0.0003;-0.0039;| || |;0.0;0.0;0.0
563;0.0022;-0.0003;-0.0045;| || |;0.00030000000000000014;0.0;-0.0005999999999999998
564;0.0019;-0.0003;-0.0045;| || |;-0.00030000000000000014;0.0;0.0
565;0.0019;-0.0003;-0.0045;| || |;0.0;0.0;0.0
566;0.0019;-0.0003;-0.0045;| || |;0.0;0.0;0.0
567;0.0019;-0.0003;-0.0045;| || |;0.0;0.0;0.0
568;0.0019;-0.0003;-0.0045;| || |;0.0;0.0;0.0
569;0.0019;-0.0003;-0.0045;| || |;0.0;0.0;0.0
570;0.0022;-0.0006;-0.0045;| || |;0.00030000000000000014;-0.0003;0.0
571;0.0019;-0.0003;-0.0045;| || |;-0.00030000000000000014;0.0003;0.0
572;0.0019;-0.0006;-0.0045;| || |;0.0;-0.0003;0.0
573;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0
574;0.0022;-0.0006;-0.0045;| || |;0.00030000000000000014;0.0;0.0
575;0.0022;-0.0003;-0.0045;| || |;0.0;0.0003;0.0
576;0.0019;-0.0006;-0.0042;| || |;-0.00030000000000000014;-0.0003;0.0002999999999999999
577;0.0019;-0.0003;-0.0045;| || |;0.0;0.0003;-0.0002999999999999999
578;0.0019;-0.0006;-0.0045;| || |;0.0;-0.0003;0.0
579;0.0019;-0.0003;-0.0045;| || |;0.0;0.0003;0.0
580;0.0019;-0.0006;-0.0045;| || |;0.0;-0.0003;0.0
581;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0
582;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0
583;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0
584;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0
585;0.0019;-0.0003;-0.0045;| || |;0.0;0.0003;0.0
586;0.0016;-0.0006;-0.0045;| || |;-0.0002999999999999999;-0.0003;0.0
587;0.0016;-0.0006;-0.0045;| || |;0.0;0.0;0.0
588;0.0016;-0.0006;-0.0048;| || |;0.0;0.0;-0.0002999999999999999
589;0.0019;-0.0006;-0.0048;| || |;0.0002999999999999999;0.0;0.0
590;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0002999999999999999
591;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0
592;0.0022;-0.0006;-0.0045;| || |;0.00030000000000000014;0.0;0.0
593;0.0019;-0.0006;-0.0048;| || |;-0.00030000000000000014;0.0;-0.0002999999999999999
594;0.0019;-0.0003;-0.0045;| || |;0.0;0.0003;0.0002999999999999999
595;0.0022;-0.0006;-0.0045;| || |;0.00030000000000000014;-0.0003;0.0
596;0.0019;-0.0006;-0.0045;| || |;-0.00030000000000000014;0.0;0.0
597;0.0019;-0.0006;-0.0045;| || |;0.0;0.0;0.0
598;0.0019;-0.0003;-0.0045;| || |;0.0;0.0003;0.0
599;0.0019;-0.0003;-0.0045;| || |;0.0;0.0;0.0
600;0.0022;-0.0003;-0.0045;| || |;0.00030000000000000014;0.0;0.0
601;0.0025;-0.0009;-0.0045;| || |;0.0002999999999999999;-0.0006000000000000001;0.0
602;0.0025;-0.0009;-0.0042;| || |;0.0;0.0;0.0002999999999999999
603;0.0025;-0.0006;-0.0039;| || |;0.0;0.00030000000000000003;0.0002999999999999999
604;0.0025;-0.0003;-0.0042;| || |;0.0;0.0003;-0.0002999999999999999
605;0.0025;-0.0006;-0.0039;| || |;0.0;-0.0003;0.0002999999999999999
606;0.0028;-0.0006;-0.0042;| || |;0.0002999999999999999;0.0;-0.0002999999999999999
607;0.0025;-0.0006;-0.0042;| || |;-0.0002999999999999999;0.0;0.0
608;0.0025;-0.0003;-0.0042;| || |;0.0;0.0003;0.0
609;0.0022;-0.0;-0.0042;| || |;-0.0002999999999999999;0.0003;0.0
610;0.0022;-0.0003;-0.0042;| || |;0.0;-0.0003;0.0
611;0.0025;-0.0;-0.0042;| || |;0.0002999999999999999;0.0003;0.0
612;0.0022;-0.0003;-0.0042;| || |;-0.0002999999999999999;-0.0003;0.0
613;0.0022;-0.0003;-0.0042;| || |;0.0;0.0;0.0
614;0.0022;-0.0006;-0.0042;| || |;0.0;-0.0003;0.0
615;0.0025;-0.0006;-0.0045;| || |;0.0002999999999999999;0.0;-0.0002999999999999999
616;0.0022;-0.0006;-0.0045;| || |;-0.0002999999999999999;0.0;0.0
617;0.0022;-0.0003;-0.0042;| || |;0.0;0.0003;0.0002999999999999999
618;0.0022;-0.0006;-0.0042;| || |;0.0;-0.0003;0.0
619;0.0025;-0.0012;-0.0042;| || |;0.0002999999999999999;-0.0006;0.0
620;0.0022;-0.0006;-0.0039;| || |;-0.0002999999999999999;0.0006;0.0002999999999999999
621;0.0025;-0.0009;-0.0042;| || |;0.0002999999999999999;-0.00030000000000000003;-0.0002999999999999999
622;0.0022;-0.0009;-0.0042;| || |;-0.0002999999999999999;0.0;0.0
623;0.0022;-0.0009;-0.0042;| || |;0.0;0.0;0.0
624;0.0025;-0.0009;-0.0042;| || |;0.0002999999999999999;0.0;0.0
625;0.0025;-0.0009;-0.0042;| || |;0.0;0.0;0.0
626;0.0025;-0.0006;-0.0042;| || |;0.0;0.00030000000000000003;0.0
627;0.0025;-0.0006;-0.0042;| || |;0.0;0.0;0.0
628;0.0025;-0.0006;-0.0042;| || |;0.0;0.0;0.0
629;0.0025;-0.0003;-0.0042;| || |;0.0;0.0003;0.0
630;0.0022;-0.0003;-0.0042;| || |;-0.0002999999999999999;0.0;0.0
631;0.0022;-0.0003;-0.0045;| || |;0.0;0.0;-0.0002999999999999999
632;0.0022;-0.0006;-0.0042;| || |;0.0;-0.0003;0.0002999999999999999
633;0.0022;-0.0006;-0.0042;| || |;0.0;0.0;0.0
634;0.0019;-0.0003;-0.0039;| || |;-0.00030000000000000014;0.0003;0.0002999999999999999
635;0.0022;-0.0006;-0.0039;| || |;0.00030000000000000014;-0.0003;0.0
636;0.0022;-0.0003;-0.0039;| || |;0.0;0.0003;0.0
637;0.0025;0.0003;-0.0042;| || |;0.0002999999999999999;0.0006;-0.0002999999999999999
638;0.0025;0.0009;-0.0039;| || |;0.0;0.0006000000000000001;0.0002999999999999999
639;0.0028;0.0015;-0.0039;| || |;0.0002999999999999999;0.0006000000000000001;0.0
640;0.0022;0.0138;-0.0039;| || |;-0.0005999999999999998;0.0123;0.0
641;0.0025;0.1525;-0.0039;| || |;0.0002999999999999999;0.1387;0.0
642;0.0022;0.2782;-0.0032;| || |;-0.0002999999999999999;0.1257;0.0006999999999999997
643;0.0025;0.3034;-0.0026;| || |;0.0002999999999999999;0.0252;0.0006000000000000003
644;0.0031;0.2903;0.0003;| || |;0.0005999999999999998;-0.0131;0.0029
645;0.0034;0.2646;0.0429;| || |;0.0002999999999999999;-0.0257;0.0426
646;0.0044;0.2446;0.2195;| || |;0.0010000000000000005;-0.01999999999999999;0.1766
647;0.02;0.2362;0.326;| || |;0.0156;-0.008400000000000019;0.10650000000000001
648;0.1203;0.2316;0.35;| || |;0.1003;-0.004599999999999993;0.023999999999999966
649;0.2593;0.223;0.35;| || |;0.13899999999999996;-0.008599999999999997;0.0
650;0.3878;0.2067;0.3421;| || |;0.1285;-0.01630000000000001;-0.007899999999999963
651;0.4462;0.1868;0.3371;| || |;0.05840000000000001;-0.0199;-0.0050000000000000044
652;0.4722;0.1691;0.335;| || |;0.026000000000000023;-0.017699999999999994;-0.0020999999999999908
653;0.4777;0.1546;0.3267;| || |;0.005500000000000005;-0.014500000000000013;-0.00830000000000003
654;0.4815;0.1436;0.3079;| || |;0.00379999999999997;-0.010999999999999982;-0.018799999999999983
655;0.4891;0.1382;0.2823;| || |;0.007599999999999996;-0.005400000000000016;-0.02560000000000001
656;0.4968;0.1369;0.2547;| || |;0.00770000000000004;-0.0012999999999999956;-0.027600000000000013
657;0.5008;0.1374;0.2298;| || |;0.0040000000000000036;0.0005000000000000004;-0.024899999999999978
658;0.4998;0.1378;0.2136;| || |;-0.0010000000000000009;0.00040000000000001146;-0.016199999999999992
659;0.4939;0.1382;0.2078;| || |;-0.005900000000000016;0.0003999999999999837;-0.0058
660;0.4787;0.1382;0.2068;| || |;-0.015199999999999991;0.0;-0.0010000000000000009
661;0.464;0.1386;0.2084;| || |;-0.01469999999999999;0.00040000000000001146;0.0015999999999999903
662;0.4523;0.1394;0.2099;| || |;-0.011700000000000044;0.0007999999999999952;0.0015000000000000013
663;0.4454;0.1398;0.2115;| || |;-0.006899999999999962;0.00040000000000001146;0.0015999999999999903
664;0.4445;0.1403;0.211;| || |;-0.0009000000000000119;0.0005000000000000004;-0.0005000000000000004
665;0.448;0.1407;0.2115;| || |;0.003500000000000003;0.0003999999999999837;0.0005000000000000004
666;0.4497;0.1407;0.212;| || |;0.0016999999999999793;0.0;0.0005000000000000004
667;0.4541;0.1415;0.212;| || |;0.004400000000000015;0.0007999999999999952;0.0
668;0.4568;0.1423;0.2126;| || |;0.00269999999999998;0.0008000000000000229;0.0006000000000000172
669;0.4595;0.1419;0.2131;| || |;0.0027000000000000357;-0.00040000000000001146;0.0005000000000000004
670;0.4604;0.1419;0.2141;| || |;0.0008999999999999564;0.0;0.0010000000000000009
671;0.464;0.1419;0.2141;| || |;0.0036000000000000476;0.0;0.0
672;0.4658;0.1419;0.2141;| || |;0.0017999999999999683;0.0;0.0
673;0.4667;0.1415;0.2152;| || |;0.0009000000000000119;-0.00040000000000001146;0.0010999999999999899
674;0.4685;0.1419;0.2141;| || |;0.0018000000000000238;0.00040000000000001146;-0.0010999999999999899
